Geographical Name;Latitude;Longitude;Generic Term;Province - Territory
Sclater;51.929722;-100.60972;Locality;Manitoba
Seddons Corner;50.061944;-96.290833;Community;Manitoba
Selkirk;50.143611;-96.883889;City;Manitoba
Seven Oaks;49.938056;-97.106944;Neighbourhood;Manitoba
Seven Sisters Falls;50.105833;-96.015556;Community;Manitoba
Seymourville;51.186389;-96.326944;Northern Community;Manitoba
Shamattawa;55.853056;-92.086389;Community;Manitoba
Shellmouth;50.934722;-101.47917;Community;Manitoba
Sherridon;55.123889;-101.08667;Northern Community;Manitoba
Shilo;49.805556;-99.641111;Locality;Manitoba
Shoal Lake;50.437778;-100.59111;Town;Manitoba
Shoal River;52.747222;-100.6875;Community;Manitoba
Shorncliffe;51.082778;-97.126667;Community;Manitoba
Shortdale;51.235;-101.03611;Community;Manitoba
Sidney;49.9;-99.078889;Community;Manitoba
Sifton;51.360278;-100.1425;Community;Manitoba
Silver;50.845833;-97.2175;Community;Manitoba
Silver Falls;50.515;-96.098889;Community;Manitoba
Simonhouse;54.44;-101.38278;Railway Point;Manitoba
Sinclair;49.569167;-101.28778;Community;Manitoba
Sioux Valley;49.854167;-100.5;Community;Manitoba
Skownan;51.989722;-99.587778;Locality;Manitoba
Slave Falls;50.227778;-95.564444;Locality;Manitoba
Snow Lake;54.878889;-100.03667;Town;Manitoba
Snowflake;49.0475;-98.659167;Community;Manitoba
Solsgirth;50.490278;-100.91389;Community;Manitoba
Somerset;49.412222;-98.660556;Village;Manitoba
Sommerfeld;49.071944;-97.448333;Community;Manitoba
Souris;49.617222;-100.26028;Town;Manitoba
South Beach;50.6225;-96.987778;Community;Manitoba
South Indian Lake;56.780278;-98.930278;Northern Community;Manitoba
South Junction;49.040556;-95.765556;Community;Manitoba
Southport;49.918056;-98.273611;Community;Manitoba
Spearhill;51.319167;-98.349722;Community;Manitoba
Sperling;49.508056;-97.704722;Community;Manitoba
Split Lake;56.245278;-96.093889;Community;Manitoba
Sprague;49.035278;-95.639167;Community;Manitoba
Spruce Sands;50.785;-96.984444;Locality;Manitoba
Spruce Siding;49.723889;-96.042778;Locality;Manitoba
Sprucewoods;49.820556;-99.651667;Community;Manitoba
St. Adolphe;49.674444;-97.110556;Community;Manitoba
St. Alphonse;49.435278;-99.003056;Community;Manitoba
St. Ambroise;50.257222;-98.036111;Community;Manitoba
St. Claude;49.658611;-98.341667;Village;Manitoba
St. Eustache;49.975278;-97.78;Community;Manitoba
St. Francois Xavier;49.912778;-97.541667;Community;Manitoba
St. Germain;49.769167;-97.127778;Neighbourhood;Manitoba
St. Jean Baptiste;49.265556;-97.339722;Local Urban District;Manitoba
St. Joseph;49.133611;-97.390556;Community;Manitoba
St. Labre;49.332778;-96.035278;Community;Manitoba
St. Laurent;50.412778;-97.940833;Community;Manitoba
St. Leon;49.363611;-98.589444;Local Urban District;Manitoba
St. Malo;49.317222;-96.948889;Local Urban District;Manitoba
St. Martin Junction;51.711389;-98.735;Community;Manitoba
St. Theresa Point;53.831667;-94.848611;Northern Community;Manitoba
Starbuck;49.772222;-97.617222;Community;Manitoba
Ste. Agathe;49.566111;-97.183333;Community;Manitoba
Ste. Amelie;50.984444;-99.382778;Community;Manitoba
Ste. Anne;49.6697219;-96.6494439;Town;Manitoba
Ste. Elizabeth;49.34;-97.187778;Community;Manitoba
Ste. Rita;49.88;-96.295556;Community;Manitoba
Ste. Rose du Lac;51.059444;-99.523333;Town;Manitoba
Stead;50.428889;-96.446389;Community;Manitoba
Steep Rock;51.4425;-98.799722;Community;Manitoba
Ste-Genevieve;49.743611;-96.524167;Locality;Manitoba
Steinbach;49.525833;-96.683889;City;Manitoba
Stephenfield;49.502778;-98.25;Locality;Manitoba
St-Lazare;50.448889;-101.30417;Village;Manitoba
Stockton;49.589444;-99.453056;Community;Manitoba
Stonewall;50.134444;-97.326111;Town;Manitoba
Stony Mountain;50.086389;-97.218889;Community;Manitoba
St-Pierre-Jolys;49.440278;-96.984444;Village;Manitoba
Strathclair;50.404722;-100.39667;Local Urban District;Manitoba
Stuartburn;49.133611;-96.763056;Community;Manitoba
Sundance;56.534167;-94.072222;Locality;Manitoba
Sundown;49.103611;-96.266667;Community;Manitoba
Sunville;50.671111;-99.184444;Locality;Manitoba
Swan Lake;49.411667;-98.791389;Local Urban District;Manitoba
Swan River;52.105833;-101.26667;Town;Manitoba
Tadoule Lake;58.711944;-98.480278;Community;Manitoba
Telford;49.840278;-95.385556;Locality;Manitoba
Teulon;50.385833;-97.261111;Town;Manitoba
Thalberg;50.370278;-96.489722;Community;Manitoba
The Narrows;51.082222;-98.773889;Locality;Manitoba
The Pas;53.825;-101.25333;Town;Manitoba
Thicket Portage;55.318056;-97.686944;Northern Community;Manitoba
Thompson;55.743333;-97.855278;City;Manitoba
Thornhill;49.200278;-98.231667;Community;Manitoba
Thunder Hill;51.997222;-101.52194;Locality;Manitoba
Tidal;58.663056;-94.120278;Railway Point;Manitoba
Tilston;49.393611;-101.31278;Community;Manitoba
Tolstoi;49.074444;-96.811111;Community;Manitoba
Tourond;49.547778;-96.981111;Locality;Manitoba
Toutes Aides;51.485;-99.531667;Community;Manitoba
Traverse Bay;50.6733330;-96.4855560;Locality;Manitoba
Treesbank;49.636111;-99.609444;Community;Manitoba
Treherne;49.629444;-98.697778;Town;Manitoba
Twin Lakes Beach;50.334444;-97.966944;Locality;Manitoba
Two Creeks;50.026111;-101.03472;Community;Manitoba
Tyndall;50.082778;-96.658333;Local Urban District;Manitoba
Tyrrell;54.604167;-99.295833;Locality;Manitoba
Ukraina;51.448333;-100.25583;Community;Manitoba
Underhill;49.443611;-100.38611;Community;Manitoba
Valley River;51.248056;-100.14306;Community;Manitoba
Vassar;49.097778;-95.831389;Community;Manitoba
Vermette;49.798056;-97.063611;Neighbourhood;Manitoba
Victoria Beach;50.702222;-96.562778;Community;Manitoba
Vidir;51.015278;-97.295556;Locality;Manitoba
Virden;49.850833;-100.93167;Town;Manitoba
Vita;49.133889;-96.561389;Local Urban District;Manitoba
Vivian;49.884722;-96.4575;Community;Manitoba
Vogar;50.951944;-98.645;Hamlet;Manitoba
Wabowden;54.908889;-98.629722;Northern Community;Manitoba
Waldersee;50.560556;-99.054444;Hamlet;Manitoba
Wallace Lake;51.001667;-95.353889;Locality;Manitoba
Wampum;49.044444;-95.832778;Locality;Manitoba
Wanless;54.178333;-101.36083;Hamlet;Manitoba
Warren;50.131667;-97.546667;Local Urban District;Manitoba
Wasagamack;53.908333;-94.945833;Community;Manitoba
Wasagaming;50.658333;-99.968611;Community;Manitoba
Washow Bay;51.126667;-96.990278;Locality;Manitoba
Waskada;49.096667;-100.80194;Village;Manitoba
Waterhen;51.83;-99.543333;Northern Community;Manitoba
Wawanesa;49.595;-99.683889;Village;Manitoba
Waywayseecappo;50.718056;-100.88111;Community;Manitoba
Weesakachak;53.743889;-93.792222;Locality;Manitoba
Wekusko;54.503333;-99.751111;Community;Manitoba
Wellwood;50.039722;-99.332222;Community;Manitoba
West Hawk Lake;49.741667;-95.202778;Community;Manitoba
Westbourne;50.129722;-98.581111;Community;Manitoba
Weston;49.916111;-97.19;Neighbourhood;Manitoba
Westray;53.596944;-101.40389;Community;Manitoba
Westwood;49.873056;-97.2925;Neighbourhood;Manitoba
Wheatland;50.016667;-100.29556;Community;Manitoba
White Lake;50.029444;-95.513611;Locality;Manitoba
White Mud Falls;50.466667;-96.065278;Community;Manitoba
Whitemouth;49.954167;-95.975278;Community;Manitoba
Whitewater;49.207222;-100.28389;Community;Manitoba
Windygates;49.000556;-98.364722;Locality;Manitoba
Winkler;49.181667;-97.940278;City;Manitoba
Winnipeg;49.884444;-97.146389;City;Manitoba
Winnipeg Beach;50.499722;-96.974722;Town;Manitoba
Winnipegosis;51.648611;-99.925833;Village;Manitoba
Wood Bay;49.251111;-98.816111;Locality;Manitoba
Woodlands;50.207222;-97.66;Community;Manitoba
Woodridge;49.283889;-96.147778;Community;Manitoba
Woodside;50.181389;-98.777222;Community;Manitoba
York Factory;57.001667;-92.305833;Locality;Manitoba
York Landing;56.088889;-96.101667;Community;Manitoba
Zhoda;49.284444;-96.510556;Locality;Manitoba
Alma;45.651667;-64.925;Village;New Brunswick
Aroostook;46.805933;-67.723932;Village;New Brunswick
Atholville;47.988948;-66.720569;Village;New Brunswick
Baker-Brook;47.308889;-68.515556;Village;New Brunswick
Balmoral;47.9625;-66.47;Village;New Brunswick
Bas-Caraquet;47.800758;-64.832199;Village;New Brunswick
Bath;46.511842;-67.595044;Village;New Brunswick
Bathurst;47.626111;-65.628333;City;New Brunswick
Belledune;47.864444;-65.921389;Village;New Brunswick
Beresford;47.711011;-65.705958;Town;New Brunswick
Bertrand;47.747043;-65.076593;Village;New Brunswick
Blacks Harbour;45.058877;-66.784847;Village;New Brunswick
Blackville;46.730362;-65.830456;Village;New Brunswick
Bouctouche;46.468333;-64.740278;Town;New Brunswick
Cambridge-Narrows;45.811944;-65.965278;Village;New Brunswick
Campbellton;47.999336;-66.683511;City;New Brunswick
Campobello Island;44.885984;-66.910968;Rural Community;New Brunswick
Canterbury;45.890619;-67.464487;Village;New Brunswick
Cap-Pele;46.216667;-64.266667;Village;New Brunswick
Caraquet;47.765556;-64.95;Town;New Brunswick
Centreville;46.430804;-67.71163;Village;New Brunswick
Charlo;47.993448;-66.304915;Village;New Brunswick
Chipman;46.177828;-65.877476;Village;New Brunswick
Clair;47.252649;-68.603364;Village;New Brunswick
Dalhousie;48.048611;-66.390278;Town;New Brunswick
Dieppe;46.078333;-64.688611;City;New Brunswick
Doaktown;46.563889;-66.115278;Village;New Brunswick
Dorchester;45.899251;-64.516608;Village;New Brunswick
Drummond;47.035396;-67.682328;Village;New Brunswick
Edmundston;47.377222;-68.294444;City;New Brunswick
Eel River Crossing;48.015804;-66.421875;Village;New Brunswick
Florenceville-Bristol;46.452132;-67.606442;Town;New Brunswick
Fredericton;45.945278;-66.666667;City;New Brunswick
Fredericton Junction;45.662987;-66.613586;Village;New Brunswick
Gagetown;45.77;-66.162778;Village;New Brunswick
Grand Bay-Westfield;45.340556;-66.253889;Town;New Brunswick
Grand Falls;47.0525;-67.735;Town;New Brunswick
Grand Manan;44.698056;-66.822222;Village;New Brunswick
Grande-Anse;47.813361;-65.182163;Village;New Brunswick
Grand-Sault;47.0525;-67.735;Town;New Brunswick
Hampton;45.528611;-65.854722;Town;New Brunswick
Hartland;46.298611;-67.5;Town;New Brunswick
Harvey;45.730054;-67.006455;Village;New Brunswick
Hillsborough;45.922248;-64.645362;Village;New Brunswick
Kedgwick;47.645845;-67.343343;Rural Community;New Brunswick
Lac Baker;47.334942;-68.642709;Village;New Brunswick
Lameque;47.813056;-64.623611;Town;New Brunswick
Le Goulet;47.708889;-64.697778;Village;New Brunswick
Maisonnette;47.820278;-65.023333;Village;New Brunswick
McAdam;45.592222;-67.308056;Village;New Brunswick
Meductic;45.988056;-67.509167;Village;New Brunswick
Memramcook;45.970833;-64.593333;Village;New Brunswick
Millville;46.127335;-67.192184;Village;New Brunswick
Minto;46.077695;-66.078501;Village;New Brunswick
Miramichi;47.004167;-65.466667;City;New Brunswick
Moncton;46.099479;-64.799802;City;New Brunswick
Nackawic;45.9933;-67.22;Town;New Brunswick
Neguac;47.243882;-65.084089;Village;New Brunswick
New Maryland;45.879167;-66.669444;Village;New Brunswick
Nigadoo;47.737778;-65.736111;Village;New Brunswick
Norton;45.650556;-65.731389;Village;New Brunswick
Oromocto;45.847602;-66.470851;Town;New Brunswick
Paquetville;47.66809;-65.108266;Village;New Brunswick
Perth-Andover;46.7228;-67.7117;Village;New Brunswick
Petitcodiac;45.93022;-65.168053;Village;New Brunswick
Petit-Rocher;47.783333;-65.716667;Village;New Brunswick
Plaster Rock;46.908823;-67.395268;Village;New Brunswick
Pointe-Verte;47.854909;-65.76398;Village;New Brunswick
Port Elgin;46.045174;-64.089802;Village;New Brunswick
Quispamsis;45.445736;-65.928736;Town;New Brunswick
Red Rock;46.791194;-66.476865;Locality;New Brunswick
Rexton;46.6429;-64.8714;Village;New Brunswick
Richibucto;46.681071;-64.868952;Town;New Brunswick
Riverside-Albert;45.743149;-64.740286;Village;New Brunswick
Riverview;46.054444;-64.817222;Town;New Brunswick
Riviere-Verte;47.320472;-68.146733;Village;New Brunswick
Rogersville;46.731507;-65.426685;Village;New Brunswick
Rothesay;45.380278;-65.968611;Town;New Brunswick
Sackville;45.918611;-64.385833;Town;New Brunswick
Saint Andrews;45.079907;-67.058373;Town;New Brunswick
Saint John;45.259167;-66.038889;City;New Brunswick
Saint-Antoine;46.362864;-64.752638;Village;New Brunswick
Sainte-Anne-de-Madawaska;47.245181;-68.025857;Village;New Brunswick
Sainte-Marie-Saint-Raphael;47.776944;-64.578889;Village;New Brunswick
Saint-Francois de Madawaska;47.243078;-68.702471;Village;New Brunswick
Saint-Isidore;47.555081;-65.046636;Village;New Brunswick
Saint-Jacques;47.432644;-68.387346;Urban Community;New Brunswick
Saint-Leolin;47.771908;-65.165945;Village;New Brunswick
Saint-Leonard;47.1625;-67.925;Town;New Brunswick
Saint-Louis de Kent;46.736585;-64.971582;Village;New Brunswick
Saint-Quentin;47.513548;-67.392285;Town;New Brunswick
Salisbury;46.028853;-65.043287;Village;New Brunswick
Shediac;46.221272;-64.539767;Town;New Brunswick
Shippagan;47.735556;-64.723611;Town;New Brunswick
St. George;45.132014;-66.820232;Town;New Brunswick
St. Hilaire;47.290717;-68.39962;Village;New Brunswick
St. Martins;45.34827;-65.55554;Village;New Brunswick
St. Stephen;45.180278;-67.296389;Town;New Brunswick
Stanley;46.284444;-66.723333;Village;New Brunswick
Sussex;45.723534;-65.510394;Town;New Brunswick
Sussex Corner;45.7108;-65.4739;Village;New Brunswick
Tide Head;47.983602;-66.767257;Village;New Brunswick
Tracadie-Sheila;47.514444;-64.918056;Town;New Brunswick
Tracy;45.676726;-66.682776;Village;New Brunswick
Woodstock;46.152222;-67.598333;Town;New Brunswick
Admirals Beach;47.0171497;-53.5989861;Town;Newfoundland and Labrador
Anchor Point;51.2389361;-56.7885527;Town;Newfoundland and Labrador
Appleton;48.9817361;-54.8572361;Town;Newfoundland and Labrador
Aquaforte;47.0080555;-52.9563889;Town;Newfoundland and Labrador
Argentia;47.2980555;-53.9855556;Neighbourhood;Newfoundland and Labrador
Arnold's Cove;47.7689194;-53.9917694;Town;Newfoundland and Labrador
Avondale;47.3991028;-53.2264333;Town;Newfoundland and Labrador
Badger;48.9788806;-56.0416916;Town;Newfoundland and Labrador
Baie Verte;49.9087083;-56.1946584;Town;Newfoundland and Labrador
Baine Harbour;47.3659444;-54.8972055;Town;Newfoundland and Labrador
Bauline;47.7008305;-52.8195695;Town;Newfoundland and Labrador
Bay Bulls;47.3261583;-52.793875;Town;Newfoundland and Labrador
Bay de Verde;48.1011611;-52.8895167;Town;Newfoundland and Labrador
Bay L'Argent;47.542664;-54.886061;Town;Newfoundland and Labrador
Bay Roberts;47.5827278;-53.2932639;Town;Newfoundland and Labrador
Baytona;49.3305861;-54.7841194;Town;Newfoundland and Labrador
Beachside;49.6428889;-55.8991139;Town;Newfoundland and Labrador
Bellburns;50.3279667;-57.5284278;Town;Newfoundland and Labrador
Belleoram;47.524733;-55.416094;Town;Newfoundland and Labrador
Benoits Siding;47.8680555;-59.1175;Settlement;Newfoundland and Labrador
Birchy Bay;49.3215389;-54.7361083;Town;Newfoundland and Labrador
Bird Cove;51.0460695;-56.9334055;Town;Newfoundland and Labrador
Bishop's Cove;47.6367556;-53.2327389;Town;Newfoundland and Labrador
Bishop's Falls;49.0209528;-55.4898944;Town;Newfoundland and Labrador
Bonavista;48.6317917;-53.1041333;Town;Newfoundland and Labrador
Botwood;49.1356472;-55.3731528;Town;Newfoundland and Labrador
Branch;46.8822222;-53.9644445;Town;Newfoundland and Labrador
Brent's Cove;49.9369444;-55.7069444;Town;Newfoundland and Labrador
Brighton;49.5400695;-55.6432555;Town;Newfoundland and Labrador
Brigus;47.5329806;-53.2150917;Town;Newfoundland and Labrador
Bryant's Cove;47.6760917;-53.1930222;Town;Newfoundland and Labrador
Buchans;48.8238;-56.8490694;Town;Newfoundland and Labrador
Burgeo;47.6199167;-57.6216334;Town;Newfoundland and Labrador
Burin;47.082841;-55.175272;Town;Newfoundland and Labrador
Burlington;49.7501528;-56.0174223;Town;Newfoundland and Labrador
Burnt Islands;47.6141944;-58.8701306;Town;Newfoundland and Labrador
Campbellton;49.2705194;-54.9319306;Town;Newfoundland and Labrador
Cape Broyle;47.0965195;-52.9414917;Town;Newfoundland and Labrador
Cape Race;46.6597222;-53.0736111;Locality;Newfoundland and Labrador
Cape St. George;48.4957027;-59.1849305;Town;Newfoundland and Labrador
Carbonear;47.7315028;-53.2326611;Town;Newfoundland and Labrador
Carmanville;49.3673055;-54.2905694;Town;Newfoundland and Labrador
Cartwright;53.693779;-56.970056;Town;Newfoundland and Labrador
Centreville-Wareham-Trinity;49.0000278;-53.9206694;Town;Newfoundland and Labrador
Chance Cove;47.6666472;-53.830925;Town;Newfoundland and Labrador
Change Islands;49.6689444;-54.4037223;Town;Newfoundland and Labrador
Channel-Port aux Basques;47.5955806;-59.1352917;Town;Newfoundland and Labrador
Chapel Arm;47.5049111;-53.6661916;Town;Newfoundland and Labrador
Charlottetown;52.7657222;-56.1453;Town;Newfoundland and Labrador
Churchill Falls;53.531781;-64.008444;Locality;Newfoundland and Labrador
Clarenville;48.1881389;-54.0557138;Town;Newfoundland and Labrador
Clarke's Beach;47.5320167;-53.303675;Town;Newfoundland and Labrador
Coachman's Cove;50.0681694;-56.1237305;Town;Newfoundland and Labrador
Colinet;47.2195306;-53.5480611;Town;Newfoundland and Labrador
Colliers;47.4503222;-53.2482889;Town;Newfoundland and Labrador
Come By Chance;47.8415167;-53.9847806;Town;Newfoundland and Labrador
Comfort Cove-Newstead;49.3581556;-54.8758195;Town;Newfoundland and Labrador
Conception Bay South;47.4907778;-52.9951111;Town;Newfoundland and Labrador
Conception Harbour;47.438575;-53.2239;Town;Newfoundland and Labrador
Conche;50.8955084;-55.8866667;Town;Newfoundland and Labrador
Cook's Harbour;51.6078722;-55.863925;Town;Newfoundland and Labrador
Cormack;49.31595;-57.3833639;Town;Newfoundland and Labrador
Corner Brook;48.9411110;-57.9702780;City;Newfoundland and Labrador
Cottlesville;49.495225;-54.8545583;Town;Newfoundland and Labrador
Cow Head;49.919725;-57.7694834;Town;Newfoundland and Labrador
Cox's Cove;49.1119861;-58.0805139;Town;Newfoundland and Labrador
Crow Head;49.67985;-54.7998834;Town;Newfoundland and Labrador
Cupids;47.5478056;-53.2244889;Town;Newfoundland and Labrador
Daniel's Harbour;50.2326473;-57.5818083;Town;Newfoundland and Labrador
Deer Lake;49.194994;-57.3897;Town;Newfoundland and Labrador
Dildo;47.5713889;-53.5505556;Neighbourhood;Newfoundland and Labrador
Donovans;47.5258333;-52.835;Neighbourhood;Newfoundland and Labrador
Dover;48.8869639;-53.9537778;Town;Newfoundland and Labrador
Duntara;48.585975;-53.3810333;Town;Newfoundland and Labrador
Eastport;48.6646722;-53.7676278;Town;Newfoundland and Labrador
Elliston;48.6291611;-53.0480361;Town;Newfoundland and Labrador
Embree;49.3012472;-55.0437028;Town;Newfoundland and Labrador
Englee;50.7657028;-56.0709528;Town;Newfoundland and Labrador
English Harbour East;47.64608;-54.892783;Town;Newfoundland and Labrador
Fermeuse;46.9727667;-52.977475;Town;Newfoundland and Labrador
Ferryland;47.0302389;-52.9056278;Town;Newfoundland and Labrador
Flatrock;47.7049611;-52.7316555;Town;Newfoundland and Labrador
Fleur de Lys;50.132925;-56.1570194;Town;Newfoundland and Labrador
Flower's Cove;51.29535;-56.7202694;Town;Newfoundland and Labrador
Fogo Island;49.658333;-54.1825;Town;Newfoundland and Labrador
Forteau;51.4915611;-56.9478916;Town;Newfoundland and Labrador
Fortune;47.0406833;-55.8614917;Town;Newfoundland and Labrador
Fox Cove-Mortier;47.1023611;-55.1103778;Town;Newfoundland and Labrador
Fox Harbour;47.3215;-53.8827166;Town;Newfoundland and Labrador
Frenchman's Cove;47.161108;-55.41835;Town;Newfoundland and Labrador
Gallants;48.7054861;-58.2388527;Town;Newfoundland and Labrador
Gambo;48.7970805;-54.2125111;Town;Newfoundland and Labrador
Gander;48.957189;-54.588561;Town;Newfoundland and Labrador
Garnish;47.215406;-55.332653;Town;Newfoundland and Labrador
Gaskiers-Point La Haye;46.8841666;-53.605;Town;Newfoundland and Labrador
Gaultois;47.611875;-55.9137583;Town;Newfoundland and Labrador
Gillams;49.0194944;-58.0683389;Town;Newfoundland and Labrador
Glenburnie-Birchy Head-Shoal Brook;49.4507556;-57.9098889;Town;Newfoundland and Labrador
Glenwood;48.9809139;-54.8820444;Town;Newfoundland and Labrador
Glovertown;48.6911305;-54.0352778;Town;Newfoundland and Labrador
Goobies Station;47.9202777;-53.9488889;Locality;Newfoundland and Labrador
Goose Cove East;51.3075;-55.6272222;Town;Newfoundland and Labrador
Grand Bank;47.088906;-55.755111;Town;Newfoundland and Labrador
Grand Falls-Windsor;48.9640028;-55.6644417;Town;Newfoundland and Labrador
Grand Le Pierre;47.7732861;-54.8056084;Town;Newfoundland and Labrador
Great Barasway;47.1275;-54.0627778;Settlement;Newfoundland and Labrador
Greenspond;49.07315;-53.5768027;Town;Newfoundland and Labrador
Hampden;49.5396389;-56.8816277;Town;Newfoundland and Labrador
Hant's Harbour;47.990422;-53.276714;Town;Newfoundland and Labrador
Happy Adventure;48.6351722;-53.7818861;Town;Newfoundland and Labrador
Happy Valley - Goose Bay;53.341739;-60.448803;Town;Newfoundland and Labrador
Harbour Breton;47.477522;-55.824044;Town;Newfoundland and Labrador
Harbour Grace;47.6796861;-53.2535888;Town;Newfoundland and Labrador
Harbour Main-Chapel's Cove-Lakeview;47.4118667;-53.1740194;Town;Newfoundland and Labrador
Hare Bay;48.8591528;-54.0318361;Town;Newfoundland and Labrador
Hawke's Bay;50.6168083;-57.1846972;Town;Newfoundland and Labrador
Heart's Content;47.8498556;-53.3549306;Town;Newfoundland and Labrador
Heart's Delight-Islington;47.7720722;-53.4437166;Town;Newfoundland and Labrador
Heart's Desire;47.8156361;-53.4267777;Town;Newfoundland and Labrador
Hermitage-Sandyville;47.546214;-55.924428;Town;Newfoundland and Labrador
Hickman's Harbour;48.1086111;-53.7422222;Settlement;Newfoundland and Labrador
Holyrood;47.3458861;-53.1520305;Town;Newfoundland and Labrador
Howley;49.1572028;-57.0995333;Town;Newfoundland and Labrador
Hughes Brook;48.9996805;-57.87935;Town;Newfoundland and Labrador
Humber Arm South;49.01565;-58.1677167;Town;Newfoundland and Labrador
Humber Village;48.9891666;-57.7638888;Village;Newfoundland and Labrador
Indian Bay;49.0641139;-53.96235;Town;Newfoundland and Labrador
Irishtown-Summerside;48.987769;-57.954761;Town;Newfoundland and Labrador
Irvine;47.5302778;-52.8794444;Neighbourhood;Newfoundland and Labrador
Isle aux Morts;47.5974223;-58.965975;Town;Newfoundland and Labrador
Jackson's Arm;49.8652223;-56.8048306;Town;Newfoundland and Labrador
Keels;48.6019445;-53.4074445;Town;Newfoundland and Labrador
King's Cove;48.5589834;-53.3732611;Town;Newfoundland and Labrador
King's Point;49.5807861;-56.208;Town;Newfoundland and Labrador
Kippens;48.5585444;-58.6339833;Town;Newfoundland and Labrador
Labrador City;52.9605694;-66.9365973;Town;Newfoundland and Labrador
Lamaline;46.906572;-55.768875;Town;Newfoundland and Labrador
L'Anse au Loup;51.525847;-56.8349304;Town;Newfoundland and Labrador
L'Anse aux Meadows;51.6013889;-55.5333333;Cove;Newfoundland and Labrador
L'Anse-au-Clair;51.4637361;-57.0670944;Town;Newfoundland and Labrador
Lark Harbour;49.1055056;-58.3923611;Town;Newfoundland and Labrador
LaScie;49.949236;-55.610031;Town;Newfoundland and Labrador
Lawn;46.93885;-55.539314;Town;Newfoundland and Labrador
Leading Tickles;49.481925;-55.4271583;Town;Newfoundland and Labrador
Lewin's Cove;47.0873;-55.2189528;Town;Newfoundland and Labrador
Lewisporte;49.2418083;-55.0460194;Town;Newfoundland and Labrador
Little Bay;49.5992389;-55.9518361;Town;Newfoundland and Labrador
Little Bay East;47.555833;-54.863889;Town;Newfoundland and Labrador
Little Bay Islands;49.6443361;-55.7974221;Town;Newfoundland and Labrador
Little Burnt Bay;49.3397167;-55.0820056;Town;Newfoundland and Labrador
Little Heart's Ease;48.0086111;-53.6994444;Settlement;Newfoundland and Labrador
Logy Bay-Middle Cove-Outer Cove;47.6366889;-52.6870083;Town;Newfoundland and Labrador
Long Harbour-Mount Arlington Heights;47.4430945;-53.782475;Town;Newfoundland and Labrador
Lord's Cove;46.8984417;-55.6587028;Town;Newfoundland and Labrador
Lourdes;48.647823;-59.001605;Town;Newfoundland and Labrador
Lumsden;49.2867583;-53.5925417;Town;Newfoundland and Labrador
Lushes Bight - Beaumont - Beaumont North;49.612445;-55.699182;Town;Newfoundland and Labrador
Main Brook;51.1652528;-55.9875694;Town;Newfoundland and Labrador
Manuels;47.5230556;-52.9536111;Neighbourhood;Newfoundland and Labrador
Mary's Harbour;52.3152777;-55.8336001;Town;Newfoundland and Labrador
Marystown;47.154975;-55.1644334;Town;Newfoundland and Labrador
Massey Drive;48.9363861;-57.8927417;Town;Newfoundland and Labrador
McIver's;49.0608417;-58.1094667;Town;Newfoundland and Labrador
Meadows;48.996536;-58.045158;Town;Newfoundland and Labrador
Middle Arm;49.7030277;-56.1148445;Town;Newfoundland and Labrador
Miles Cove;49.5401528;-55.7958777;Town;Newfoundland and Labrador
Millertown;48.8119444;-56.5430555;Town;Newfoundland and Labrador
Milltown-Head of Bay d'Espoir;47.925892;-55.744281;Town;Newfoundland and Labrador
Ming's Bight;49.9747833;-56.0409167;Town;Newfoundland and Labrador
Morrisville;47.882844;-55.767158;Town;Newfoundland and Labrador
Mount Carmel-Mitchells Brook-St. Catherine's;47.186478;-53.422992;Town;Newfoundland and Labrador
Mount Moriah;48.9583917;-58.0708694;Town;Newfoundland and Labrador
Mount Pearl;47.5195306;-52.8118056;City;Newfoundland and Labrador
Musgrave Harbour;49.4167028;-53.9644222;Town;Newfoundland and Labrador
Musgravetown;48.4140306;-53.8921305;Town;Newfoundland and Labrador
New Perlican;47.9069389;-53.3271;Town;Newfoundland and Labrador
New-Wes-Valley;49.1531389;-53.6266722;Town;Newfoundland and Labrador
Nippers Harbour;49.7933334;-55.8702778;Town;Newfoundland and Labrador
Norman's Cove-Long Cove;47.5459305;-53.6899055;Town;Newfoundland and Labrador
Norris Arm;49.0773444;-55.2379028;Town;Newfoundland and Labrador
Norris Point;49.5194444;-57.8725;Town;Newfoundland and Labrador
North River;47.54345;-53.3130305;Town;Newfoundland and Labrador
North West River;53.53545;-60.1440055;Town;Newfoundland and Labrador
Northern Arm;49.1861222;-55.3862583;Town;Newfoundland and Labrador
Notre Dame Junction;49.1263889;-55.0847222;Locality;Newfoundland and Labrador
Old Perlican;48.0871306;-52.9944472;Town;Newfoundland and Labrador
Pacquet;49.992475;-55.8973083;Town;Newfoundland and Labrador
Paradise;47.5346416;-52.8839778;Town;Newfoundland and Labrador
Parkers Cove;47.3984917;-54.8605778;Town;Newfoundland and Labrador
Parson's Pond;50.0369278;-57.6969917;Town;Newfoundland and Labrador
Pasadena;49.0119334;-57.5684833;Town;Newfoundland and Labrador
Peterview;49.1074583;-55.3388167;Town;Newfoundland and Labrador
Petty Harbour-Maddox Cove;47.4731556;-52.7071833;Town;Newfoundland and Labrador
Pilley's Island;49.5277056;-55.7158528;Town;Newfoundland and Labrador
Pinware;51.6219444;-56.7138889;Town;Newfoundland and Labrador
Placentia;47.2705222;-53.9050916;Town;Newfoundland and Labrador
Point au Gaul;46.8671222;-55.7472111;Town;Newfoundland and Labrador
